imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0031067,Bachelor Mother,1939,1947-04-26,"Comedy, Romance",82,USA,English,7.6,,$ 4149
tt0031252,Drums Along the Mohawk,1939,1948-10-20,"Drama, History, Romance",104,USA,English,7.1,$ 2000000,$ 10360
tt0031302,Fifth Avenue Girl,1939,1939-09-22,"Comedy, Romance",83,USA,English,6.8,$ 607000,$ 9636
tt0031381,Gone with the Wind,1939,1949-03-12,"Drama, History, Romance",238,USA,English,8.1,$ 3977000,$ 402352579
tt0031507,Jesse James,1939,1939-01-27,"Biography, Crime, Drama",106,USA,English,7.0,$ 1600000,$ 3444
tt0031514,Le jour se lève,1939,1939-12-09,"Crime, Drama, Romance",93,France,French,7.8,,$ 35321
tt0031647,Midnight,1939,1950-03-29,"Comedy, Romance",94,USA,"English, French",7.9,,$ 12513
tt0031679,Mr. Smith Goes to Washington,1939,1947-04-05,"Comedy, Drama",129,USA,English,8.1,$ 1900000,$ 144738
tt0031762,Only Angels Have Wings,1939,1942-02-02,"Adventure, Drama, Romance",121,USA,"English, Spanish",7.7,,$ 8554
tt0031885,La règle du jeu,1939,1939-07-09,"Comedy, Drama",110,France,"French, German, English",8.0,FRF 5500500,$ 273641
tt0032007,Tarzan Finds a Son!,1939,1939-06-16,"Action, Adventure, Family",82,USA,English,6.6,,$ 4551840
tt0032138,The Wizard of Oz,1939,1949-04-19,"Adventure, Family, Fantasy",102,USA,English,8.0,$ 2777000,$ 26142032
tt0032143,The Women,1939,1947-11-19,"Comedy, Drama",133,USA,"English, French",7.8,$ 1688000,$ 16161
tt0032145,Wuthering Heights,1939,1945-12-22,"Drama, Romance",104,USA,English,7.6,,$ 624643
tt0032156,Zangiku monogatari,1939,1939-10-10,"Drama, Romance",143,Japan,Japanese,7.9,,$ 6125
tt0032359,Convoy,1940,1940-07-05,"Drama, War",90,UK,English,6.2,,GBP 50000
tt0032384,De Mayerling à Sarajevo,1940,1940-05-01,Drama,95,France,French,6.7,,$ 5247
tt0032413,Dr. Ehrlich's Magic Bullet,1940,1940-03-02,"Biography, Drama",103,USA,English,7.4,,$ 205
tt0032455,Fantasia,1940,1946-09-19,"Animation, Family, Fantasy",125,USA,English,7.8,$ 2280000,$ 76411401
tt0032553,The Great Dictator,1940,1945-06-25,"Comedy, Drama, War",125,USA,"English, Esperanto",8.4,$ 2000000,$ 969879
tt0032701,The Letter,1940,1947-11-13,"Crime, Drama, Film-Noir",95,USA,English,7.6,,$ 16455
tt0032762,The Mark of Zorro,1940,1940-11-08,"Action, Adventure, Romance",94,USA,"English, Spanish",7.5,$ 1000000,$ 3424
tt0032904,The Philadelphia Story,1940,1947-04-16,"Comedy, Romance",112,USA,"English, French",7.9,,$ 411442
tt0032910,Pinocchio,1940,1947-11-27,"Animation, Comedy, Family",88,USA,English,7.4,$ 2600000,$ 121892045
tt0032976,Rebecca,1940,1941-11-18,"Drama, Mystery, Romance",130,USA,"English, French",8.1,$ 1288000,$ 72275
tt0033045,The Shop Around the Corner,1940,1945-10-17,"Comedy, Drama, Romance",99,USA,English,8.1,,$ 36368
tt0033238,Waterloo Bridge,1940,1940-05-17,"Drama, Romance, War",108,USA,"English, French",7.8,,$ 31111
tt0033467,Citizen Kane,1941,1948-11-25,"Drama, Mystery",119,USA,"English, Italian",8.3,$ 839727,$ 1594107
tt0033563,Dumbo,1941,1948-11-27,"Animation, Drama, Family",64,USA,English,7.2,$ 950000,$ 3731
