original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
Mystery Train,1989,"Comedy, Crime, Drama",110,"Japan, USA","English, Japanese, Italian",76.0,1.5449730000000002,89.0
National Lampoon's Christmas Vacation,1989,Comedy,97,USA,English,76.0,72.705146,67.0
New York Stories,1989,"Comedy, Drama, Romance",124,USA,English,64.0,10.763469,75.0
Next of Kin,1989,"Action, Crime, Thriller",108,USA,English,59.0,15.942628,56.0
No Holds Barred,1989,"Action, Sport",93,USA,English,44.0,16.093651,10.0
Old Gringo,1989,"Adventure, History, Romance",119,"USA, Mexico","English, Spanish",58.0,3.5742559999999997,42.0
The Package,1989,"Action, Crime, Drama",108,USA,English,64.0,10.647219,60.0
Parenthood,1989,"Comedy, Drama",124,USA,"English, Spanish",70.0,126.29783,91.0
Parents,1989,"Comedy, Horror, Mystery",81,"Canada, USA",English,62.0,0.8705320000000001,53.0
Pet Sematary,1989,"Fantasy, Horror, Thriller",103,USA,English,66.0,57.469466999999995,51.0
The Phantom of the Opera,1989,"Drama, Horror, Music",93,"USA, UK, Hungary",English,55.0,3.953745,38.0
Physical Evidence,1989,"Crime, Mystery, Romance",99,USA,English,52.0,3.5609319999999998,22.0
Pink Cadillac,1989,"Action, Comedy, Crime",122,USA,English,54.0,12.143483999999999,21.0
Prancer,1989,"Drama, Family, Fantasy",103,"USA, Canada",English,64.0,18.587135,67.0
Relentless,1989,"Crime, Thriller",92,USA,English,59.0,6.985999,33.0
The Return of Swamp Thing,1989,"Action, Adventure, Comedy",88,USA,English,47.0,0.19281600000000002,44.0
Road House,1989,"Action, Thriller",114,USA,"English, Portuguese",66.0,30.050027999999998,39.0
Romero,1989,"Biography, Crime, Drama",102,"USA, Mexico","English, German",71.0,1.316495,78.0
Say Anything...,1989,"Comedy, Drama, Romance",100,USA,English,73.0,21.515196,98.0
Sea of Love,1989,"Crime, Drama, Mystery",113,"USA, Canada",English,68.0,110.879513,76.0
Second Sight,1989,"Comedy, Mystery, Sci-Fi",83,USA,English,45.0,5.368865,0.0
"See No Evil, Hear No Evil",1989,"Comedy, Crime",103,USA,English,69.0,46.908987,28.0
See You in the Morning,1989,"Drama, Romance",119,USA,English,57.0,4.795009,55.0
She's Out of Control,1989,Comedy,90,USA,English,54.0,12.065892,11.0
She-Devil,1989,Comedy,99,USA,"English, French",57.0,15.351420999999998,40.0
Shirley Valentine,1989,"Comedy, Drama, Romance",108,"UK, USA",English,72.0,6.056912,73.0
Shocker,1989,"Comedy, Horror, Thriller",109,USA,English,55.0,16.554699,24.0
Skin Deep,1989,"Comedy, Drama, Romance",101,USA,English,62.0,19.674852,38.0
Slaves of New York,1989,"Comedy, Drama",124,USA,English,56.0,0.46397199999999994,22.0
Some Girls,1988,"Comedy, Drama, Fantasy",94,"UK, USA","English, French",57.0,0.40142100000000003,50.0
Steel Magnolias,1989,"Comedy, Drama, Romance",117,USA,English,73.0,96.759512,68.0
Stepfather II,1989,"Horror, Thriller",93,"UK, USA",English,57.0,1.519796,0.0
Tango & Cash,1989,"Action, Comedy, Crime",104,USA,English,64.0,63.408614,30.0
Tap,1989,"Comedy, Drama, Music",111,USA,English,65.0,9.114702,50.0
Teen Witch,1989,"Comedy, Fantasy, Romance",90,USA,English,61.0,0.027843,44.0
Three Fugitives,1989,"Action, Comedy",96,USA,English,62.0,40.586886,14.0
Triumph of the Spirit,1989,"Biography, Drama, History",120,USA,"English, German",68.0,0.40883900000000006,50.0
Troop Beverly Hills,1989,"Adventure, Comedy",105,USA,English,58.0,8.508843,25.0
True Believer,1989,"Crime, Drama",105,USA,English,67.0,8.74275,95.0
UHF,1989,Comedy,97,USA,English,70.0,6.157157,64.0
Uncle Buck,1989,Comedy,100,USA,English,70.0,79.258538,61.0
Valmont,1989,"Drama, Romance",137,"France, UK",English,70.0,1.132112,55.0
The War of the Roses,1989,"Comedy, Romance",116,USA,English,68.0,160.188546,85.0
We're No Angels,1989,"Comedy, Crime",106,USA,"English, French, Latin",62.0,10.555347999999999,47.0
Weekend at Bernie's,1989,"Adventure, Comedy, Crime",97,USA,English,64.0,30.218387,54.0
Who's Harry Crumb?,1989,"Comedy, Mystery",94,"USA, Canada",English,59.0,10.982364,27.0
Winter People,1989,Drama,110,USA,English,62.0,2.023282,11.0
The Wizard,1989,"Adventure, Comedy, Drama",96,USA,"English, Brazilian Sign Language",61.0,14.278899999999998,32.0
"Sex, Lies, and Videotape",1989,Drama,100,USA,English,72.0,24.741667,96.0
Sweetie,1989,"Comedy, Drama",97,Australia,English,68.0,0.9385619999999999,88.0
"After Dark, My Sweet",1990,"Crime, Drama, Mystery",114,USA,English,66.0,2.678414,82.0
Air America,1990,"Action, Comedy, War",113,USA,"English, Lao",58.0,33.461269,13.0
Alice,1990,"Comedy, Romance",106,USA,"English, Cantonese",66.0,7.331646999999999,75.0
An Angel at My Table,1990,"Biography, Drama",158,"New Zealand, Australia, UK, USA","English, Spanish",75.0,1.055995,94.0
Another 48 Hrs.,1990,"Action, Comedy, Crime",93,USA,"English, Cantonese",59.0,153.51897400000001,21.0
Arachnophobia,1990,"Comedy, Fantasy, Horror",109,USA,"English, Spanish",64.0,53.208180000000006,92.0
Avalon,1990,Drama,128,USA,"English, Yiddish",72.0,15.779578,85.0
Awakenings,1990,"Biography, Drama",121,USA,English,78.0,52.096475,88.0
Back to the Future Part III,1990,"Adventure, Comedy, Sci-Fi",118,USA,English,74.0,246.145853,80.0
Betsy's Wedding,1990,"Comedy, Romance",94,USA,English,56.0,19.74007,50.0
Bird on a Wire,1990,"Action, Comedy",110,USA,English,60.0,138.697012,32.0
Blue Steel,1990,"Action, Crime, Drama",102,USA,English,57.0,8.217997,75.0
The Bonfire of the Vanities,1990,"Comedy, Drama, Romance",125,USA,English,56.0,15.691192000000001,16.0
Chattahoochee,1989,"Biography, Drama",98,USA,English,64.0,0.259486,14.0
Child's Play 2,1990,"Horror, Thriller",84,USA,English,59.0,35.763605,44.0
Class of 1999,1990,"Action, Horror, Sci-Fi",99,USA,English,59.0,2.459895,67.0
Come See the Paradise,1990,"Drama, Romance, War",138,USA,"English, Japanese",67.0,0.947306,64.0
Crazy People,1990,"Comedy, Drama",90,USA,English,61.0,13.236512999999999,37.0
Cry-Baby,1990,"Comedy, Musical",85,USA,English,65.0,8.266343,73.0
Darkman,1990,"Action, Sci-Fi, Thriller",96,USA,English,64.0,48.878502,84.0
Days of Thunder,1990,"Action, Drama, Sport",107,USA,"English, French",60.0,157.92073299999998,38.0
Delta Force 2: The Colombian Connection,1990,"Action, Adventure, Crime",111,USA,"English, Spanish",49.0,6.698361,11.0
Desperate Hours,1990,"Action, Crime, Drama",105,USA,English,54.0,2.742912,36.0
Dick Tracy,1990,"Action, Comedy, Crime",105,USA,English,61.0,162.73872599999999,63.0
Die Hard 2,1990,"Action, Thriller",124,USA,"English, Spanish",72.0,240.247433,69.0
Eating,1990,"Comedy, Drama",110,USA,English,62.0,2.100538,75.0
Edward Scissorhands,1990,"Drama, Fantasy, Romance",105,USA,English,79.0,86.024005,90.0
Ernest Goes to Jail,1990,"Comedy, Crime, Family",81,USA,English,54.0,25.029569000000002,13.0
The Exorcist III,1990,"Drama, Horror, Mystery",110,USA,English,64.0,39.024251,59.0
The Field,1990,"Drama, Thriller",107,Ireland,English,74.0,1.494399,43.0
Fire Birds,1990,"Action, Adventure",85,USA,English,48.0,14.760451,10.0
The First Power,1990,"Crime, Horror, Thriller",98,USA,English,57.0,22.424195,30.0
Flashback,1990,"Action, Adventure, Comedy",108,USA,English,63.0,6.488114,43.0
Flatliners,1990,"Drama, Horror, Sci-Fi",115,USA,English,66.0,61.489265,48.0
The Forbidden Dance,1990,"Drama, Music, Romance",97,USA,English,39.0,1.823154,23.0
Frankenhooker,1990,"Comedy, Horror, Sci-Fi",85,USA,"English, Swedish",62.0,0.20506799999999997,57.0
The Freshman,1990,"Comedy, Crime",102,USA,"English, Italian, German, French",64.0,21.460601,94.0
Funny About Love,1990,"Comedy, Romance",101,USA,English,50.0,8.141292,0.0
Ghost,1990,"Drama, Fantasy, Romance",127,USA,English,70.0,505.870681,74.0
Graffiti Bridge,1990,"Drama, Music",90,USA,English,45.0,4.562778,19.0
Green Card,1990,"Comedy, Drama, Romance",107,"France, Australia, USA","English, French, Spanish",62.0,29.888234999999998,60.0
Gremlins 2: The New Batch,1990,"Comedy, Fantasy, Horror",106,USA,English,64.0,41.482207,71.0
The Grifters,1990,"Crime, Drama, Thriller",110,"USA, Canada",English,69.0,13.446769,91.0
The Guardian,1990,"Drama, Horror, Mystery",92,USA,English,54.0,17.037887,30.0
Hamlet,1990,Drama,135,"USA, UK, France",English,67.0,20.710451,76.0
The Handmaid's Tale,1990,"Drama, Romance, Sci-Fi",109,"USA, Germany",English,60.0,4.9603850000000005,32.0
Hard to Kill,1990,"Action, Crime, Drama",96,USA,English,58.0,47.410827,38.0
Hardware,1990,"Sci-Fi, Thriller",94,"UK, USA",English,60.0,5.728953,50.0
Heart Condition,1990,"Comedy, Crime, Drama",100,USA,English,56.0,4.134992,0.0
Henry: Portrait of a Serial Killer,1986,"Biography, Crime, Drama",83,USA,English,70.0,0.609939,87.0
Hidden Agenda,1990,"Drama, Thriller",108,UK,English,69.0,1.0309380000000001,85.0
Home Alone,1990,"Comedy, Family",103,USA,English,76.0,477.06311400000004,65.0
