imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0105187,The Public Eye,1992,1992-11-13,"Crime, Drama, Romance",99,USA,English,6.5,15000000,30.67917
tt0105211,Radio Flyer,1992,1992-02-21,Drama,114,USA,English,7.0,35000000,46.51977
tt0105217,Raising Cain,1992,1992-08-07,"Crime, Drama, Horror",92,USA,"English, Spanish",6.1,12000000,371.70057
tt0105219,Rapid Fire,1992,1992-11-21,"Action, Crime, Drama",95,USA,"English, Cantonese",6.3,10000000,143.56479
tt0105226,Red Rock West,1993,1993-05-14,"Crime, Drama, Thriller",98,USA,English,7.0,8000000,25.02551
tt0105236,Reservoir Dogs,1992,1992-10-09,"Crime, Drama, Thriller",99,USA,English,8.3,1200000,28.89963
tt0105256,Rich in Love,1992,1993-03-05,Drama,105,USA,English,6.2,18000000,21.49866
tt0105265,A River Runs Through It,1992,1992-10-30,Drama,123,USA,English,7.2,12000000,434.40294
tt0105323,Scent of a Woman,1992,1993-02-26,Drama,156,USA,English,8.0,31000000,1340.95253
tt0105327,School Ties,1992,1992-09-18,Drama,106,USA,"English, Hebrew, French",6.9,18000000,147.15067
tt0105378,Shadows and Fog,1991,1992-03-06,Comedy,85,USA,English,6.7,14000000,27.35731
tt0105399,Seong lung wui,1992,1992-01-15,"Action, Comedy",104,Hong Kong,Cantonese,6.5,10000000,83.59717
tt0105411,Simple Men,1992,1992-11-18,"Crime, Drama, Romance",105,"Italy, UK, USA",English,7.2,3000000,1.4301
tt0105414,Single White Female,1992,1992-08-14,"Drama, Thriller",107,USA,English,6.4,16000000,480.17402
tt0105417,Sister Act,1992,1993-01-28,"Comedy, Crime, Family",100,USA,English,6.4,31000000,2316.0515
tt0105428,Sleepwalkers,1992,1992-04-10,"Fantasy, Horror",91,USA,English,5.3,15000000,305.24763
tt0105435,Sneakers,1992,1993-01-15,"Comedy, Crime, Drama",126,USA,"English, Russian, Chinese",7.1,35000000,1052.32691
tt0105450,South Central,1992,1992-09-18,"Crime, Drama",98,USA,English,6.8,4000000,13.73196
tt0105459,Split Second,1992,1992-09-10,"Action, Crime, Horror",90,UK,English,6.2,7000000,54.30822
tt0105466,Stay Tuned,1992,1992-08-14,"Adventure, Comedy, Fantasy",88,USA,English,6.3,25000000,107.36401
tt0105477,Stop! Or My Mom Will Shoot,1992,1992-02-21,"Action, Comedy",87,USA,English,4.3,45000000,706.1121
